Country Comparison :: Military expenditures,,
,Percentage of GDP,Year of data
1       Saudi Arabia    ,8.78,2018
2       Oman      ,8.17,2018
3       United Arab Emirates ,5.7,2016
4       Algeria   ,5.27,2018
5       Israel    ,5.1,2017
6       Kuwait     ,5.06,2018
7       Lebanon            ,4.99,2018
8       Jordan ,4.68,2018
9       Armenia ,4.25,2018
10      Pakistan   ,4.03,2018
11      Uzbekistan    ,4,2018
12      Yemen                         ,3.98,2014
13      Russia,3.93,2018
14      Ukraine    ,3.78,2018
15      Azerbaijan  ,3.77,2018
16      Bahrain  ,3.6,2018
17      Colombia    ,3.5,2018
18      Namibia     ,3.35,2018
19      United States     ,3.16,2018
20      Singapore       ,3.14,2018
21      Morocco     ,3.1,2018
22      Mauritania      ,3.02,2018
"23      Gambia, The    ",3,2018
24      Burma    ,2.93,2018
25      Cuba     ,2.87,207
26      Mali    ,2.87,2018
27      Botswana      ,2.78,2018
28      Iraq        ,2.73,2018
29      Iran    ,2.67,2018
"30      Korea, South  ",2.62,2018
"31      Congo, Republic of the  ",2.55,2018
32      Turkey  ,2.5,2018
33      Guinea,2.47,2018
34      Niger    ,2.45,2018
35      India   ,2.42,2018
36      Greece  ,2.39,2018
37      Ecuador         ,2.38,2018
38      Brunei    ,2.37,2018
39      Vietnam          ,2.3,2018
40      Sudan                ,2.28,2018
41      Cambodia ,2.21,2018
42      Zimbabwe  ,2.17,2018
43      Chad        ,2.13,2018
44      United Kingdom   ,2.13,2019
45      Georgia,2.1,2018
46      Tunisia      ,2.09,2018
47      Burkina Faso    ,2.06,2018
48      Estonia       ,2.06,2018
49      Poland     ,1.99,2018
50      Latvia    ,1.98,2018
51      Togo     ,1.97,2018
52      Lithuania       ,1.96,2018
53      Uruguay          ,1.95,2018
54      Romania                ,1.91,2018
55      Australia      ,1.89,2018
56      Chile     ,1.89,2018
57      Sri Lanka           ,1.89,2018
58      Burundi  ,1.88,2018
59      China    ,1.87,2018
60      France        ,1.82,2018
61      Lesotho        ,1.81,2018
62      Angola,1.78,2018
63      Portugal    ,1.78,2018
64      Taiwan      ,1.78,2018
65      Slovakia        ,1.73,2019
66      Honduras           ,1.71,2018
67      Bulgaria        ,1.69,2018
68      Guyana     ,1.69,2018
69      Montenegro     ,1.67,2019
70      Guinea-Bissau           ,1.64,2015
71      Norway       ,1.61,2018
72      Cyprus       ,1.57,2018
73      Kyrgyzstan         ,1.57,2018
74      Gabon               ,1.53,2018
75      Bolivia                ,1.5,2018
76      Eswatini             ,1.5,2018
77      Brazil   ,1.48,2018
78      Nepal    ,1.44,2018
79      Seychelles         ,1.44,2018
80      Uganda,1.43,2018
81      Central African Republic  ,1.41,2018
82      Serbia      ,1.39,2018
83      Senegal     ,1.38,2019
84      Bangladesh   ,1.37,2018
85      Cote d'Ivoire      ,1.36,2018
86      Croatia     ,1.36,2018
87      Jamaica     ,1.35,2018
88      Italy    ,1.33,2018
89      South Sudan    ,1.33,2018
90      Thailand ,1.33,2018
91      Kenya ,1.3,2019
92      Finland         ,1.29,2019
93      Belarus     ,1.27,2018
94      Spain    ,1.27,208
95      Belize      ,1.26,2018
96      Albania        ,1.25,2019
97      Cameroon  ,1.25,2018
98      Canada         ,1.25,2018
99      Egypt           ,1.25,2018
100     Zambia                     ,1.25,2018
101     Germany       ,1.24,2018
102     Netherlands       ,1.24,2018
103     Rwanda    ,1.23,2018
104     Tajikistan    ,1.22,2015
105     Denmark     ,1.21,2018
106     Tanzania         ,1.21,2018
107     North Macedonia         ,1.19,2018
108     Peru   ,1.19,2018
109     New Zealand         ,1.16,2018
110     Philippines,1.13,2018
111     Czechia       ,1.12,2018
112     Bosnia and Herzegovina,1.11,2018
113     Hungary                  ,1.08,2018
114     Sweden         ,1.04,2018
115     El Salvador       ,1.03,2018
116     Afghanistan     ,0.99,2018
117     Macedonia        ,0.99,2017
118     Mozambique     ,0.99,2018
119     Malaysia  ,0.98,2018
120     South Africa            ,0.98,2018
121     Slovenia                        ,0.97,2018
122     Kazakhstan              ,0.95,2018
123     Belgium                    ,0.93,2018
124     Japan                    ,0.93,2018
125     Paraguay                  ,0.93,2018
126     Fiji                     ,0.92,2018
127     Argentina     ,0.86,2018
128     Benin      ,0.86,2018
129     Malawi  ,0.85,2018
130     Kosovo   ,0.8,2018
131     Sierra Leone  ,0.8,2018
132     Trinidad and Tobago ,0.78,2018
133     Liberia          ,0.77,2018
134     Dominican Republic  ,0.74,2018
135     Indonesia      ,0.72,2018
136     Mongolia           ,0.68,2018
137     Switzerland    ,0.68,2018
"138     Congo, Democratic Republic of the    ",0.67,2018
139     Ethiopia      ,0.64,2018
140     Nicaragua  ,0.61,2018
141     Timor-Leste    ,0.61,2018
142     Madagascar  ,0.6,2018
143     Austria     ,0.58,2018
144     Cabo Verde   ,0.55,2018
145     Luxembourg     ,0.55,2018
146     Mexico ,0.54,2018
147     Nigeria    ,0.51,2018
148     Malta ,0.49,2018
149     Venezuela   ,0.49,2017
150     Ghana   ,0.41,2018
151     Guatemala      ,0.35,2018
152     Moldova,0.35,2018
153     Ireland   ,0.33,2018
154     Iceland      ,0.3,2018
155     Papua New Guinea   ,0.27,2018
156     Laos   ,0.19,2013
157     Equatorial Guinea   ,0.18,2016
158     Mauritius          ,0.16,2018
